# femnist-tangle

{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08360651548977056, 'loss': 3.6836783498940395, 'consensus_round': 9.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11952001559480868, 'loss': 3.7680705697956407, 'consensus_round': 17.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5324005412822589, 'loss': 1.9377879623528182, 'consensus_round': 28.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5575223929560369, 'loss': 1.6682929804791575, 'consensus_round': 39.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5824297794393744, 'loss': 1.5079887756097208, 'consensus_round': 48.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6922805016477963, 'loss': 1.0818339222074265, 'consensus_round': 58.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7051619573115352, 'loss': 1.07323863635507, 'consensus_round': 68.33333333333331, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6655302313201683, 'loss': 1.1258344969015994, 'consensus_round': 78.66666666666669, 'consensus_poisoning': 0.0, 'norm': 1.1870261430740356},
{'accuracy': 0.7267872390076998, 'loss': 0.8964847063433348, 'consensus_round': 88.66666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6962426556138048, 'loss': 0.9598445930882641, 'consensus_round': 98.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},


